t,[s]	T,[C]	m,[g]
   0	80.00	575.40
  30	79.10	574.92
  60	78.40	574.48
  90	77.70	574.02
 120	77.20	573.56
 150	76.20	573.18
 180	75.60	572.78
 210	75.00	572.36
 240	74.30	572.00
 270	73.90	571.62
 300	73.00	571.30
 330	72.60	570.94
 360	72.00	570.62
 390	71.50	570.28
 420	70.80	569.96
 450	70.20	569.66
 480	69.90	569.36
 510	69.30	569.10
 540	68.70	568.82
 570	68.20	568.54
 600	67.70	568.28
 630	67.20	568.02
 660	66.80	567.76
 690	66.30	567.54
 720	65.80	567.30
 750	65.40	567.06
 780	64.90	566.82
 810	64.50	566.60
 840	64.20	566.38
 870	63.80	566.18
 900	63.40	565.96
 930	62.60	565.76
 960	62.20	565.56
 990	61.70	565.36
1020	61.30	565.16
1050	61.00	565.00
1080	60.80	564.80
1110	60.60	564.62
1140	60.30	564.46
1170	59.90	564.30
1200	59.60	564.12
1230	59.20	563.96
1260	58.90	563.80
1290	58.60	563.66
1320	58.30	563.50
1350	58.00	563.35
1380	57.50	563.20
1410	57.30	563.06
1440	57.00	562.92
1470	56.70	562.78
1500	56.40	562.64
1530	56.10	562.50
1560	55.90	562.38
1590	55.50	562.24
1620	55.20	562.10
1650	55.00	561.98
1680	54.70	561.86
1710	54.40	561.74
1740	54.10	561.62
1770	53.80	561.48
1800	53.40	561.36
