t,[s]	T,[C]	m,[g]
0	80.00	196.55
30	79.30	196.37
60	78.00	196.12
90	77.00	195.91
120	76.20	195.72
150	75.00	195.51
180	74.10	195.33
210	73.30	195.14
240	72.50	194.96
270	71.80	194.80
300	70.90	194.62
330	70.00	194.46
360	69.30	194.32
390	68.60	194.17
420	67.70	194.05
450	67.10	193.89
480	66.20	193.78
510	65.70	193.66
540	65.10	193.55
570	64.40	193.44
600	63.90	193.33
630	63.20	193.22
660	62.60	193.12
690	62.20	193.03
720	61.60	192.94
750	61.10	192.85
780	60.40	192.77
810	60.00	192.67
840	59.90	192.59
870	59.10	192.51
900	58.40	192.43
930	58.01	192.33
960	57.60	192.26
990	57.16	192.20
1020	56.70	192.13
1050	56.23	192.06
1080	55.80	191.98
1110	55.45	191.91
1140	55.10	191.85
1170	54.70	191.78
1200	54.30	191.72
1230	53.95	191.66
1260	53.60	191.61
1290	53.19	191.55
1320	52.80	191.49
1350	52.51	191.43
1380	52.20	191.38
1410	51.75	191.33
1440	51.30	191.28
1470	50.98	191.23
1500	50.70	191.18
1530	50.35	191.12
1560	50.01	191.07
1590	49.77	191.02
1620	49.50	190.98
1650	49.11	190.94
1680	48.70	190.90
1710	48.41	190.86
1740	48.20	190.81
1770	47.96	190.77
1800	47.60	190.74
